idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
343686,5,118,13,3,19,3,0,2,0.0,0.0,6,2,1,0,0,0,3,1906,63.0,209,0.0,0,19,de_mirage,2,0.0,4.0,0.0,4.0,33.0,17.0,3.0,4.0,0.0,2.0,0,2022-02-13 13:27:48,I
343689,6,121,23,2,19,10,1,1,0.0,0.0,10,5,1,0,0,0,1,2793,75.0,633,3.0,2,28,de_mirage,11,6.0,3.0,0.0,14.0,37.0,15.0,1.0,5.0,2.0,1.0,1,2022-02-13 13:27:48,I
343725,7,157,8,2,16,4,0,2,0.0,2.0,8,0,0,0,0,0,0,1370,43.0,311,0.0,0,21,de_inferno,5,5.0,4.0,0.0,6.0,22.0,11.0,0.0,1.0,2.0,1.0,1,2022-02-13 13:27:48,I
343796,10,228,18,6,26,5,0,0,0.0,0.0,9,3,1,0,0,0,5,2476,54.0,313,0.0,0,29,de_mirage,20,3.0,4.0,0.0,6.0,34.0,8.0,2.0,4.0,0.0,0.0,1,2022-02-13 13:27:48,I
344634,12,1066,18,2,18,6,0,3,0.0,0.0,8,3,0,1,0,0,1,2525,71.0,262,3.0,2,20,de_mirage,8,2.0,2.0,0.0,8.0,24.0,18.0,3.0,3.0,6.0,9.0,0,2022-02-13 13:27:48,I
345214,20,1646,20,2,20,10,0,0,0.0,0.0,8,1,2,1,0,0,2,2498,60.0,447,0.0,0,29,de_dust2,20,9.0,4.0,0.0,11.0,30.0,9.0,3.0,4.0,2.0,1.0,0,2022-02-13 13:27:48,I
345675,22,2107,14,4,14,6,0,1,0.0,0.0,8,3,0,0,0,0,3,1713,43.0,358,1.0,1,24,de_mirage,7,9.0,2.0,0.0,7.0,18.0,10.0,1.0,5.0,1.0,1.0,1,2022-02-13 13:27:48,I
345815,23,2247,6,3,11,2,0,0,0.0,0.0,2,2,0,0,0,0,1,1080,34.0,280,0.0,0,13,de_inferno,6,2.0,1.0,0.0,4.0,15.0,7.0,1.0,1.0,3.0,3.0,0,2022-02-13 13:27:48,I
345817,24,2249,17,2,17,8,0,0,0.0,0.0,8,3,1,0,0,0,2,2199,52.0,481,1.0,2,28,de_vertigo,5,9.0,4.0,0.0,10.0,25.0,6.0,3.0,1.0,0.0,7.0,0,2022-02-13 13:27:48,I
346028,27,2460,28,3,20,13,0,3,0.0,0.0,7,3,2,1,1,0,3,3802,81.0,548,2.0,1,29,de_inferno,19,7.0,5.0,0.0,22.0,35.0,13.0,2.0,5.0,2.0,2.0,0,2022-02-13 13:27:48,I
346056,28,2488,10,4,18,1,0,1,0.0,0.0,8,1,0,0,0,0,2,1570,49.0,490,0.0,0,26,de_nuke,5,8.0,2.0,0.0,3.0,28.0,10.0,1.0,5.0,2.0,0.0,1,2022-02-13 13:27:48,I
346060,29,2492,30,2,21,18,0,2,0.0,0.0,9,4,3,1,0,0,2,3679,85.0,562,4.0,3,28,de_dust2,0,2.0,3.0,1.0,22.0,38.0,15.0,2.0,2.0,3.0,3.0,0,2022-02-13 13:27:48,I
346088,30,2520,28,5,31,14,0,0,0.0,0.0,11,4,3,0,0,0,3,3849,100.0,726,0.0,0,40,de_mirage,17,9.0,6.0,1.0,18.0,46.0,20.0,2.0,10.0,2.0,2.0,1,2022-02-13 13:27:48,I
346264,33,2696,11,1,19,5,0,0,0.0,0.0,8,0,1,0,0,0,3,1544,51.0,311,0.0,0,20,de_mirage,16,1.0,0.0,0.0,8.0,25.0,11.0,0.0,1.0,2.0,4.0,0,2022-02-13 13:27:48,I
346377,35,2809,19,1,20,10,0,2,0.0,1.0,11,4,0,0,0,0,4,2167,45.0,293,0.0,0,24,de_mirage,19,4.0,5.0,0.0,12.0,22.0,3.0,1.0,5.0,2.0,0.0,1,2022-02-13 13:27:48,I
346670,42,3103,14,0,19,6,0,0,0.0,0.0,4,5,0,0,0,0,1,1838,38.0,304,0.0,0,23,de_dust2,19,4.0,3.0,0.0,8.0,22.0,3.0,0.0,4.0,0.0,1.0,0,2022-02-13 13:27:48,I
347011,43,3445,28,4,21,13,0,0,0.0,0.0,9,8,1,0,0,0,4,3641,108.0,637,0.0,0,28,de_mirage,20,7.0,4.0,0.0,15.0,55.0,22.0,6.0,4.0,3.0,3.0,0,2022-02-13 13:27:48,I
347032,44,3466,24,6,22,8,0,1,0.0,0.0,6,5,0,2,0,0,1,3179,83.0,428,0.0,0,30,de_mirage,18,7.0,3.0,0.0,11.0,45.0,11.0,8.0,8.0,0.0,0.0,1,2022-02-13 13:27:48,I
347107,45,3541,20,7,23,7,0,2,0.0,0.0,12,2,0,1,0,0,1,2782,67.0,425,1.0,1,28,de_mirage,19,4.0,5.0,0.0,11.0,32.0,9.0,3.0,5.0,3.0,4.0,0,2022-02-13 13:27:48,I
347153,46,3587,9,3,18,1,1,0,0.0,0.0,7,1,0,0,0,0,0,1052,36.0,417,1.0,1,24,de_overpass,0,5.0,0.0,1.0,1.0,17.0,9.0,1.0,5.0,1.0,2.0,0,2022-02-13 13:27:48,I
347204,49,3638,13,1,14,2,0,2,0.0,1.0,9,2,0,0,0,0,2,1607,35.0,176,0.0,0,24,de_train,7,10.0,1.0,1.0,3.0,19.0,8.0,1.0,4.0,0.0,0.0,1,2022-02-13 13:27:48,I
348178,57,4614,24,5,21,12,0,1,0.0,0.0,10,3,1,0,1,0,3,3119,79.0,560,1.0,0,29,de_mirage,10,7.0,4.0,0.0,12.0,32.0,17.0,1.0,13.0,2.0,2.0,1,2022-02-13 13:27:48,I
348189,58,4625,23,5,15,6,0,0,0.0,0.0,6,5,1,1,0,0,4,2900,72.0,456,0.0,0,21,de_inferno,8,6.0,4.0,0.0,7.0,29.0,23.0,2.0,6.0,4.0,1.0,1,2022-02-13 13:27:48,I
348269,61,4705,41,1,18,10,1,2,0.0,1.0,5,8,4,2,0,0,4,4850,119.0,625,5.0,4,30,de_train,14,7.0,3.0,1.0,11.0,52.0,36.0,3.0,9.0,5.0,3.0,0,2022-02-13 13:27:48,I
348964,66,5401,3,1,18,1,0,3,0.0,1.0,3,0,0,0,0,0,0,661,16.0,273,0.0,0,22,de_dust2,4,4.0,2.0,0.0,1.0,9.0,1.0,0.0,2.0,1.0,2.0,0,2022-02-13 13:27:48,I
349514,69,5951,36,9,36,15,1,1,0.0,0.0,18,3,4,0,0,0,6,4955,139.0,716,0.0,0,47,de_mirage,20,11.0,5.0,0.0,17.0,76.0,27.0,3.0,8.0,1.0,7.0,1,2022-02-13 13:27:48,I
349668,74,6106,8,1,18,4,0,0,0.0,0.0,6,1,0,0,0,0,2,1147,25.0,165,0.0,0,19,de_nuke,16,1.0,1.0,0.0,6.0,15.0,1.0,0.0,1.0,0.0,2.0,0,2022-02-13 13:27:48,I
350018,77,6456,11,2,17,5,0,0,0.0,1.0,3,1,2,0,0,0,1,1553,44.0,255,0.0,0,19,de_inferno,10,2.0,3.0,0.0,5.0,25.0,9.0,3.0,2.0,0.0,0.0,0,2022-02-13 13:27:48,I
350167,80,6606,5,2,19,1,0,0,0.0,0.0,3,1,0,0,0,0,0,943,30.0,298,0.0,0,26,de_inferno,15,5.0,3.0,0.0,1.0,14.0,9.0,0.0,2.0,4.0,0.0,0,2022-02-13 13:27:48,I
350221,81,6660,10,4,18,1,0,1,0.0,0.0,4,0,2,0,0,0,0,1233,30.0,327,0.0,0,24,de_mirage,10,5.0,5.0,2.0,4.0,13.0,6.0,1.0,1.0,2.0,3.0,0,2022-02-13 13:27:48,I
350360,83,6799,13,7,17,4,0,2,0.0,1.0,6,2,1,0,0,0,1,2193,57.0,570,0.0,1,26,de_inferno,14,8.0,4.0,1.0,9.0,23.0,15.0,1.0,5.0,3.0,1.0,1,2022-02-13 13:27:48,I
350463,84,6902,13,5,14,2,0,3,0.0,0.0,7,3,0,0,0,0,1,1506,42.0,289,1.0,1,25,de_nuke,7,10.0,2.0,0.0,2.0,16.0,13.0,0.0,3.0,5.0,3.0,1,2022-02-13 13:27:48,I
350654,85,7093,10,7,23,6,0,1,0.0,0.0,6,2,0,0,0,0,4,1909,48.0,488,0.0,0,28,de_mirage,18,5.0,6.0,0.0,9.0,18.0,9.0,0.0,11.0,0.0,1.0,0,2022-02-13 13:27:48,I
350708,86,7147,25,9,13,5,2,2,0.0,0.0,12,5,1,0,0,0,3,3272,106.0,525,4.0,4,24,de_vertigo,13,7.0,2.0,0.0,9.0,62.0,22.0,0.0,5.0,5.0,3.0,1,2022-02-13 13:27:48,I
351246,89,7685,18,2,16,11,0,0,0.0,1.0,10,4,0,0,0,0,0,2146,53.0,568,0.0,0,23,de_mirage,20,7.0,5.0,1.0,12.0,24.0,10.0,0.0,6.0,1.0,0.0,1,2022-02-13 13:27:48,I
351331,90,7771,22,4,18,11,1,4,0.0,0.0,8,5,0,1,0,0,3,2719,47.0,519,1.0,1,30,de_inferno,20,11.0,3.0,0.0,14.0,20.0,5.0,4.0,2.0,2.0,0.0,0,2022-02-13 13:27:48,I
351821,93,8262,21,5,14,3,1,0,0.0,1.0,9,3,2,0,0,0,3,2371,59.0,519,0.0,0,26,de_inferno,19,12.0,2.0,0.0,4.0,25.0,15.0,1.0,6.0,5.0,3.0,1,2022-02-13 13:27:48,I
351895,94,8336,24,3,14,14,0,0,0.0,0.0,4,5,2,1,0,0,8,2814,63.0,445,0.0,0,24,de_inferno,5,10.0,1.0,1.0,17.0,28.0,9.0,3.0,5.0,0.0,1.0,1,2022-02-13 13:27:48,I
351920,95,8361,27,2,14,8,0,3,0.0,0.0,6,6,3,0,0,0,3,2998,84.0,552,1.0,1,27,de_inferno,9,12.0,2.0,1.0,8.0,44.0,15.0,3.0,13.0,0.0,1.0,1,2022-02-13 13:27:48,I
352036,97,8477,24,5,24,5,1,3,0.0,0.0,14,5,0,0,0,0,2,3038,59.0,350,2.0,3,42,de_train,11,15.0,4.0,0.0,9.0,22.0,13.0,1.0,7.0,4.0,3.0,0,2022-02-13 13:27:48,I
352135,99,8576,6,1,22,0,1,1,0.0,0.0,6,0,0,0,0,0,0,795,22.0,207,0.0,0,22,de_dust2,9,1.0,4.0,0.0,1.0,11.0,4.0,2.0,0.0,2.0,2.0,0,2022-02-13 13:27:48,I
352184,100,8625,39,6,25,18,1,0,0.0,0.0,8,6,6,0,0,0,5,4828,124.0,673,1.0,2,34,de_inferno,15,7.0,6.0,0.0,22.0,80.0,12.0,1.0,7.0,0.0,2.0,1,2022-02-13 13:27:48,I
352190,101,8631,12,1,11,1,0,4,0.0,0.0,1,4,1,0,0,0,2,1216,33.0,340,2.0,2,22,de_mirage,10,9.0,0.0,0.0,4.0,6.0,19.0,0.0,2.0,2.0,0.0,1,2022-02-13 13:27:48,I
352206,102,8647,18,4,17,10,0,1,0.0,1.0,13,1,1,0,0,0,2,2714,67.0,412,2.0,0,25,de_mirage,10,6.0,2.0,2.0,17.0,31.0,11.0,1.0,6.0,0.0,1.0,0,2022-02-13 13:27:48,I
352254,103,8696,19,6,22,6,0,0,0.0,0.0,11,4,0,0,0,0,6,2514,71.0,443,0.0,0,28,de_ancient,8,6.0,5.0,1.0,6.0,45.0,12.0,1.0,4.0,1.0,2.0,0,2022-02-13 13:27:48,I
352446,106,8892,29,3,13,10,0,4,0.0,0.0,10,5,3,0,0,0,5,3533,94.0,403,0.0,0,25,de_mirage,15,12.0,5.0,0.0,14.0,45.0,24.0,1.0,2.0,3.0,5.0,1,2022-02-13 13:27:48,I
352612,107,9058,16,3,11,6,0,4,0.0,0.0,10,3,0,0,0,0,0,1901,56.0,407,4.0,3,26,de_overpass,18,11.0,0.0,0.0,9.0,26.0,9.0,2.0,7.0,1.0,2.0,1,2022-02-13 13:27:48,I
352771,109,9217,25,3,36,4,0,4,0.0,0.0,12,5,1,0,0,0,4,2973,71.0,467,1.0,1,47,de_mirage,10,10.0,11.0,1.0,7.0,37.0,8.0,3.0,8.0,5.0,3.0,0,2022-02-13 13:27:48,I
352905,113,9351,20,2,18,2,0,2,0.0,0.0,7,5,1,0,0,0,3,2088,54.0,504,1.0,0,23,de_dust2,12,4.0,3.0,1.0,3.0,19.0,15.0,0.0,9.0,4.0,4.0,0,2022-02-13 13:27:48,I
353249,116,9698,5,5,18,0,0,1,0.0,0.0,5,0,0,0,0,0,1,1156,43.0,237,0.0,0,19,de_overpass,7,2.0,1.0,0.0,1.0,16.0,11.0,4.0,6.0,3.0,2.0,0,2022-02-13 13:27:48,I
353349,118,9798,18,5,19,6,0,0,0.0,0.0,6,6,0,0,0,0,0,2564,81.0,589,0.0,1,27,de_dust2,3,9.0,3.0,0.0,6.0,20.0,27.0,1.0,9.0,7.0,11.0,1,2022-02-13 13:27:48,I
353421,122,9870,26,8,18,9,0,1,0.0,0.0,7,5,3,0,0,0,3,3276,87.0,622,1.0,1,26,de_inferno,6,7.0,4.0,0.0,15.0,38.0,19.0,3.0,8.0,2.0,2.0,0,2022-02-13 13:27:48,I
345699,124,2131,17,9,20,11,0,0,0.0,0.0,6,2,1,1,0,0,2,2852,75.0,389,12.0,0,26,de_mirage,0,12.0,2.0,0.0,12.0,30.0,16.0,3.0,1.0,6.0,7.0,0,2022-02-13 13:27:48,I
