idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
176817,51,3908,19,7,20,8,0,1,0.0,0.0,6,2,3,0,0,0,0,2607,49.0,487,0.0,0,24,de_inferno,13,4.0,5.0,0.0,9.0,21.0,10.0,2.0,3.0,1.0,3.0,0,2022-02-12 13:27:48,I
184401,149,11514,26,3,17,13,1,1,0.0,1.0,12,4,2,0,0,0,7,3001,70.0,472,0.0,0,24,de_mirage,9,7.0,5.0,1.0,16.0,34.0,11.0,4.0,1.0,2.0,2.0,1,2022-02-12 13:27:48,I
185981,164,13097,26,6,28,8,0,0,0.0,0.0,10,3,2,1,0,0,5,3367,84.0,526,1.0,0,36,de_inferno,18,7.0,5.0,0.0,11.0,46.0,16.0,3.0,7.0,1.0,0.0,0,2022-02-12 13:27:48,I
186511,186,13629,23,4,14,4,0,1,0.0,0.0,8,4,1,1,0,0,6,2636,83.0,563,0.0,0,23,de_overpass,6,9.0,2.0,0.0,6.0,34.0,24.0,3.0,3.0,6.0,7.0,1,2022-02-12 13:27:48,I
189031,220,16162,7,1,17,2,0,0,0.0,2.0,7,0,0,0,0,0,2,1382,53.0,466,0.0,0,24,de_overpass,0,7.0,0.0,0.0,2.0,23.0,15.0,4.0,3.0,2.0,4.0,1,2022-02-12 13:27:48,I
189053,223,16184,18,1,18,6,0,0,0.0,0.0,10,4,0,0,0,0,4,2115,39.0,337,0.0,0,26,de_mirage,8,8.0,0.0,2.0,9.0,8.0,14.0,1.0,4.0,3.0,0.0,0,2022-02-12 13:27:48,I
189794,234,16929,24,2,16,12,1,0,0.0,1.0,14,5,0,0,0,0,4,3079,81.0,532,2.0,2,29,de_mirage,10,11.0,3.0,1.0,16.0,39.0,12.0,5.0,1.0,4.0,4.0,1,2022-02-12 13:27:48,I
192540,283,19691,28,0,12,10,0,0,0.0,0.0,8,4,4,0,0,0,9,3364,86.0,617,1.0,1,22,de_inferno,9,9.0,2.0,1.0,11.0,36.0,25.0,1.0,4.0,6.0,3.0,1,2022-02-12 13:27:48,I
193062,297,20219,8,1,21,7,0,0,0.0,0.0,6,1,0,0,0,0,0,1105,30.0,237,0.0,0,22,de_dust2,10,1.0,6.0,0.0,8.0,14.0,7.0,0.0,1.0,0.0,0.0,0,2022-02-12 13:27:48,I
197905,367,25102,10,2,14,4,0,3,0.0,0.0,4,3,0,0,0,0,1,1549,49.0,501,0.0,1,23,de_mirage,3,8.0,2.0,1.0,4.0,15.0,17.0,2.0,5.0,2.0,4.0,1,2022-02-12 13:27:48,I
204197,439,31443,15,5,20,6,0,0,1.0,0.0,9,3,0,0,0,0,2,2189,56.0,441,0.0,0,25,de_ancient,18,6.0,3.0,0.0,12.0,24.0,11.0,0.0,5.0,3.0,1.0,0,2022-02-12 13:27:48,I
188441,461,32598,20,4,17,14,0,1,0.0,0.0,12,1,2,0,0,0,8,2635,50.0,298,0.0,0,23,de_mirage,14,6.0,2.0,0.0,17.0,22.0,3.0,1.0,4.0,2.0,1.0,1,2022-02-12 13:27:48,I
