idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
643533,1739,112375,12,6,15,6,0,2,0.0,0.0,10,1,0,0,0,0,1,1802,55.0,641,0.0,1,25,de_train,0,10.0,1.0,0.0,6.0,11.0,19.0,2.0,4.0,7.0,6.0,1,2022-02-14 13:27:48,I
643554,1740,112396,10,4,14,1,1,2,0.0,0.0,6,2,0,0,0,0,1,1596,59.0,300,1.0,1,22,de_nuke,5,7.0,1.0,0.0,2.0,12.0,29.0,2.0,3.0,7.0,4.0,1,2022-02-14 13:27:48,I
643651,1741,112494,10,4,17,4,0,0,0.0,0.0,8,1,0,0,0,0,2,1576,48.0,220,13.0,0,21,de_mirage,15,6.0,1.0,0.0,8.0,25.0,9.0,0.0,4.0,0.0,2.0,0,2022-02-14 13:27:48,I
643655,1742,112498,19,2,21,9,0,0,0.0,0.0,10,3,1,0,0,0,4,2525,65.0,306,0.0,0,27,de_inferno,8,6.0,2.0,0.0,11.0,36.0,8.0,4.0,2.0,4.0,0.0,0,2022-02-14 13:27:48,I
643789,1743,112633,12,4,15,5,0,3,0.0,0.0,6,0,2,0,0,0,0,1601,38.0,257,1.0,1,22,de_nuke,3,6.0,2.0,0.0,6.0,20.0,5.0,2.0,4.0,1.0,0.0,1,2022-02-14 13:27:48,I
643944,1744,112794,25,4,20,11,0,0,0.0,0.0,9,5,2,0,0,0,4,2994,58.0,450,2.0,2,29,de_nuke,13,7.0,1.0,1.0,14.0,23.0,15.0,0.0,3.0,1.0,2.0,1,2022-02-14 13:27:48,I
644008,1745,112862,22,6,7,9,2,2,0.0,1.0,9,5,1,0,0,0,2,2631,67.0,584,0.0,0,20,de_dust2,0,13.0,0.0,0.0,11.0,22.0,15.0,1.0,8.0,2.0,8.0,1,2022-02-14 13:27:48,I
644030,1746,112884,12,2,20,1,0,2,0.0,0.0,6,3,0,0,0,0,1,1348,49.0,355,0.0,0,30,de_train,4,10.0,2.0,1.0,1.0,14.0,21.0,1.0,3.0,4.0,5.0,0,2022-02-14 13:27:48,I
644040,1747,112894,6,2,6,2,1,0,0.0,0.0,4,1,0,0,0,0,0,778,24.0,256,0.0,0,18,de_inferno,0,12.0,0.0,0.0,3.0,11.0,5.0,0.0,4.0,1.0,0.0,1,2022-02-14 13:27:48,I
644056,1748,112910,12,5,6,3,0,0,1.0,0.0,6,3,0,0,0,0,3,1318,26.0,201,0.0,0,16,de_mirage,10,9.0,2.0,1.0,3.0,14.0,3.0,0.0,3.0,2.0,1.0,1,2022-02-14 13:27:48,I
644068,1749,112922,29,4,18,11,0,2,0.0,0.0,8,7,1,1,0,0,1,3570,103.0,631,1.0,1,27,de_mirage,4,8.0,1.0,0.0,12.0,43.0,29.0,4.0,15.0,0.0,0.0,1,2022-02-14 13:27:48,I
644118,1750,112973,42,8,50,13,0,5,0.0,0.0,22,7,2,0,0,0,7,5524,165.0,821,0.0,0,70,de_dust2,11,20.0,8.0,1.0,15.0,76.0,38.0,6.0,21.0,4.0,5.0,1,2022-02-14 13:27:48,I
644168,1751,113023,12,1,16,3,0,1,0.0,0.0,7,1,1,0,0,0,0,1528,57.0,263,1.0,0,21,de_inferno,9,4.0,1.0,0.0,4.0,18.0,17.0,0.0,7.0,6.0,5.0,0,2022-02-14 13:27:48,I
644249,1752,113110,11,3,14,5,0,4,0.0,0.0,5,3,0,0,0,0,0,1637,41.0,608,0.0,0,20,de_inferno,10,7.0,3.0,0.0,6.0,20.0,11.0,0.0,1.0,1.0,2.0,1,2022-02-14 13:27:48,I
644255,1754,113116,14,4,26,5,0,1,0.0,0.0,10,2,0,0,0,0,4,1935,38.0,500,0.0,0,30,de_inferno,10,4.0,3.0,0.0,6.0,21.0,6.0,0.0,3.0,1.0,1.0,1,2022-02-14 13:27:48,I
644295,1755,113157,10,3,15,3,0,0,0.0,0.0,4,0,2,0,0,0,1,1185,37.0,301,0.0,0,21,de_vertigo,4,6.0,3.0,0.0,4.0,16.0,8.0,3.0,2.0,1.0,3.0,1,2022-02-14 13:27:48,I
644375,1756,113241,22,7,12,11,0,0,0.0,0.0,5,7,1,0,0,0,3,2865,78.0,640,0.0,1,21,de_vertigo,12,9.0,6.0,0.0,14.0,30.0,19.0,3.0,6.0,1.0,5.0,1,2022-02-14 13:27:48,I
